Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageRegret
0,0.316192729459,0.547788262368,0.0,0.0,0.0,0.0,0.164177667053,1.19001338901,2.1329258695,0.0,0.43510979174
1,0.970403012353,0.780526283066,0.172019075559,0.585750949413,0.0,0.0,16.6788987744,1.58888509714,516.29355337,0.00753189312079,53.7077568455
2,1.31270140635,0.862539857982,0.296526984352,0.585750949413,0.0,0.0108745260397,16.6788987744,1.58888509714,516.29355337,0.235235404445,53.786496637
3,1.43061874919,1.11495897117,0.419194745176,4.57535451975,0.0,0.13685547215,16.6788987744,1.5978318381,516.29355337,0.426576873976,54.2673843314
4,1.51089743057,1.25308960226,0.543966165331,4.57535451975,0.0,0.51901662178,16.6788987744,1.5978318381,516.29355337,0.593015622,54.3565623944
5,1.52302786101,1.25308960226,0.616787958948,4.57535451975,0.304827756036,0.659084827995,16.6788987744,1.5978318381,516.29355337,0.6274916139,54.4129948123
6,1.62181567963,7.90276464849,0.852199943536,7.04188015217,0.304827756036,0.659084827995,16.6788987744,1.5978318381,516.29355337,1.56404363,55.4516900621
7,1.83587629885,8.0702557786,4.40626522725,7.08213171979,0.304827756036,2.29178373924,16.6788987744,1.5978318381,516.29355337,1.93899836141,56.0500422864
8,1.88322161594,9.14691024725,5.65160714962,7.366970652,0.350343575742,2.29178373924,16.6788987744,1.5978318381,516.29355337,2.03059946966,56.3291720432
9,1.91652572257,9.14691024725,6.26082581331,10.5743435423,0.626556231803,2.65012720095,16.6788987744,1.5978318381,516.515301346,2.28966425224,56.8256984969
10,2.11904692608,9.14691024725,6.60526047163,10.5743435423,0.626556231803,3.52403021929,16.6788987744,1.5978318381,516.515301346,2.96066693518,57.0348846532
11,2.11904692608,9.14691024725,6.65307662147,11.1950715408,1.35243697137,3.52403021929,16.6788987744,1.5978318381,516.682766397,3.11739952533,57.2067469061
12,2.11904692608,12.9538426727,9.17750219062,11.2549784847,1.95102920404,4.66651644977,16.6788987744,1.5978318381,516.912785239,3.21556461504,58.0527996394
13,2.28495022338,12.9567665378,9.17750219062,11.2549784847,46.1538617987,10.6080990915,16.6788987744,1.5978318381,516.912785239,3.40469056995,63.1030364748
14,2.65205752961,12.9567665378,10.1423943338,11.2549784847,46.2884196244,12.2003280589,16.6788987744,1.5978318381,516.912785239,3.46242257261,63.4146882993
15,3.35761678792,12.9567665378,10.1423943338,11.2549784847,47.4060024406,13.6540016408,16.6788987744,1.5978318381,516.912785239,3.48806635815,63.7449342435
16,3.59553985759,13.3984736632,10.1612541917,11.2549784847,47.7698719897,15.847516634,16.6788987744,1.5978318381,516.912785239,4.83836977177,64.2055520444
17,3.59553985759,13.3984736632,10.1612541917,11.2549784847,48.0680213929,15.847516634,16.6788987744,1.5978318381,518.453332631,10.0274362778,64.9083283746
18,3.59553985759,13.8314952382,10.2200292736,11.3654973601,48.7838182424,15.847516634,16.6788987744,1.5978318381,518.601885691,10.0274362778,65.0549949187
19,3.75148279453,13.9955318774,10.3666465392,11.3654973601,50.1216164654,16.2391257972,17.2081147395,1.5978318381,518.601885691,10.1926847242,65.3440417827
20,3.78646977185,14.010724009,10.3922136724,13.0129411087,50.1341607763,16.2391257972,17.2081147395,1.5978318381,518.601885691,10.2991439136,65.5282611318
21,4.35118330949,14.010724009,10.4411223275,13.0129411087,50.1549542839,17.8819462748,17.2081147395,1.5978318381,518.601885691,10.390714475,65.7651418057
22,4.53179191062,14.010724009,10.4411223275,13.0192675248,51.2317797598,18.1720324709,17.2081147395,1.5978318381,518.601885691,10.583326121,65.9397876393
23,4.63784580411,14.010724009,10.4568302636,13.0192675248,51.2317797598,18.6099497656,17.2081147395,1.60505650468,518.601885691,10.9377055413,66.0319159604
24,4.72672454392,14.010724009,10.4568302636,13.0192675248,51.4182127411,19.1544146226,17.4373238616,1.60505650468,520.042192666,12.6113398804,66.4482086618
25,4.75499518662,14.0927363867,10.5030619334,13.0192675248,51.4418772222,21.6392191808,17.4373238616,1.60505650468,520.042192666,12.6909681094,66.7226698577
26,4.7867060968,14.0927363867,10.5388908118,13.0192675248,51.4418772222,22.5577494881,17.4373238616,3.32309596404,520.192828027,12.9903006575,67.038077604
27,4.90935882286,14.3108524614,10.5404889994,13.0192675248,51.7307819885,23.0066009642,17.4373238616,3.53048541135,520.297628047,12.9903006575,67.1773088739
28,5.09469692066,14.3108524614,10.5949475313,13.0192675248,52.4020608454,23.6626439186,17.4373238616,3.53048541135,520.507281421,13.1421203227,67.3701680219
29,5.30413363948,14.5819890972,10.5949475313,13.0192675248,53.1477899313,23.6626439186,17.4373238616,3.90891970484,520.507281421,13.1421203227,67.5306416953
30,5.36182437078,14.5819890972,10.9994384692,13.2948797588,54.961320515,24.0219656847,66.3128041275,3.90891970484,520.507281421,13.323748813,72.7274171962
31,5.95317756537,14.5819890972,10.9994384692,13.2948797588,57.5140470918,24.0219656847,66.3128041275,3.90891970484,520.507281421,13.5573531043,73.0651856025
32,6.29169410827,14.5819890972,11.027273169,14.1542297538,57.5140470918,24.5521659514,66.3128041275,3.90891970484,520.507281421,13.7866249748,73.26370294
33,6.29169410827,14.5819890972,11.027273169,14.4003625606,57.5140470918,24.5521659514,66.3128041275,3.90891970484,520.507281421,13.8412663953,73.2937803627
34,6.78548763761,14.609326126,11.027273169,14.4003625606,57.5140470918,27.2592805092,66.3128041275,3.93257236644,520.588959544,14.5901478861,73.7020261018
35,6.95238466572,14.609326126,11.027273169,14.4003625606,57.6690796387,28.4053670929,68.3967840699,3.93257236644,520.588959544,17.7372512129,74.3719360446
36,6.95238466572,14.609326126,11.027273169,15.3481548526,57.6690796387,28.9589467037,68.3967840699,3.93257236644,520.588959544,17.9027750475,74.5386256183
37,6.95238466572,14.801450287,11.027273169,15.3481548526,57.6690796387,29.3232756948,68.3967840699,3.93257236644,520.927368067,18.0231847523,74.6401527564
38,7.12599262891,15.0088236169,11.0672159295,15.4664438638,57.6690796387,47.7016718844,68.3967840699,3.93257236644,520.927368067,18.0908551706,76.5386807237
39,7.43363111666,15.0227464174,11.2648795662,15.7501313523,57.6690796387,47.7016718844,68.4783165853,3.93257236644,522.978097308,19.1669458254,76.939807206
40,7.58659065628,15.1560260185,11.2878957044,16.850255526,57.6690796387,47.7016718844,68.4783165853,3.93257236644,522.978097308,19.1669458254,77.0807451513
41,7.58659065628,15.3052860683,11.2878957044,16.850255526,57.6690796387,47.7016718844,68.4783165853,3.93257236644,522.978097308,36.0233293142,78.7813095052
42,7.64929933484,15.3052860683,11.4155502178,16.850255526,57.6690796387,47.8444545969,68.4783165853,4.07940606282,522.978097308,36.1250654291,78.8394810768
43,7.97291989449,15.3052860683,11.7231382904,16.9032041243,57.6690796387,50.8911408832,68.4783165853,4.67328411975,522.978097308,36.5155246059,79.3109991518
44,7.97291989449,15.3052860683,11.7231382904,18.6820470197,57.8857824978,50.8911408832,68.5215183156,4.67328411975,523.096591712,36.704733396,79.5456442197
45,8.37629807612,15.3052860683,11.7231382904,18.8636710107,57.8857824978,50.8911408832,68.5215183156,4.67328411975,523.231973706,36.8154710891,79.6287564057
46,9.40488011531,15.3687216912,11.845230948,27.1640959368,57.8857824978,51.3495370816,68.5235098217,4.67328411975,523.231973706,36.868488383,80.6315504301
47,9.43338187565,15.3926671553,11.8476327365,36.7138675151,57.8857824978,51.3523544447,68.5235098217,4.67328411975,523.231973706,37.0273921269,81.6081845999
48,9.64132377397,15.4255685161,11.8476327365,37.6091445942,58.2576681921,52.2179361567,68.5235098217,4.67328411975,523.880597362,37.1364852195,81.9213150493
49,9.64132377397,15.4773157383,11.8476327365,37.6091445942,58.2576681921,52.2179361567,68.5235098217,4.67328411975,523.880597362,37.3490595472,81.9477472043
50,9.94400563134,15.4773157383,11.8476327365,38.6226814512,58.2940189772,52.35805261,68.5235098217,4.67328411975,523.880597362,37.3490595472,82.0970157995
51,9.94400563134,15.4773157383,11.8476327365,39.1219443066,58.2940189772,52.4535650152,68.5235098217,4.67328411975,523.880597362,37.5365268184,82.1752400527
52,9.94400563134,15.4773157383,11.8476327365,39.1975384064,58.2940189772,52.4535650152,68.5235098217,4.67328411975,523.880597362,37.5365268184,82.1827994627
53,9.97343508686,15.4773157383,11.8810066472,45.1409974093,58.2940189772,52.4535650152,68.5235098217,4.67328411975,523.880597362,37.6167550474,82.7914485225
54,10.8081559268,16.2763002977,11.8810066472,45.4221572103,58.2940189772,54.4195240242,68.5235098217,4.67328411975,524.088623343,43.2646796658,83.7651260033
55,10.8316478884,16.2763002977,11.8810066472,45.4221572103,58.2940189772,54.4195240242,68.5235098217,4.67328411975,524.166449326,43.2822032634,83.7770101575
56,10.9860154062,16.4830136933,11.9012506906,45.4621130773,58.2940189772,54.4276884177,68.5235098217,4.67328411975,524.166449326,43.34735,83.8264693529
57,10.9860154062,16.4987087603,11.9088264636,45.4621130773,58.9607737595,54.4276884177,68.5235098217,4.9603113443,524.166449326,43.5698510905,83.9464247467
58,11.0297729484,16.6622708245,11.9088264636,45.5678407395,59.3907171983,56.9623204959,68.5235098217,4.9603113443,524.190741229,43.6257601808,84.2822071246
59,11.102454609,16.6765824885,11.9088264636,45.5678407395,59.5418231626,57.7330708737,68.5235098217,4.9603113443,524.190741229,43.9488696807,84.4154030413
60,11.1829637418,17.1554705306,11.9088264636,46.1402097823,59.599445104,57.7330708737,68.5235098217,4.9603113443,524.190741229,43.9488696807,84.5343418572
61,11.1829637418,17.1554705306,11.9507212293,46.1402097823,59.599445104,59.3225993665,68.8468998698,4.9603113443,524.190741229,44.2020093612,84.7551371559
62,12.5062510927,17.1554705306,11.9507212293,47.6762893861,59.6516138851,59.3631451606,68.8468998698,4.9603113443,524.190741229,45.9780850426,85.227952877
63,12.5062510927,17.1554705306,11.9507212293,47.6762893861,59.6516138851,60.5609682873,68.8468998698,4.9603113443,524.190741229,46.1041926494,85.3603459504
64,12.5062510927,18.1209287188,11.9949634554,57.4700454838,59.6516138851,60.5609682873,68.8468998698,5.19418284017,524.190741229,46.8118503669,86.5348445229
65,12.5484398252,18.1209287188,11.9949634554,57.4700454838,59.7920179538,60.5609682873,68.8468998698,5.19418284017,524.190741229,46.8118503669,86.5531038031
66,12.6091035021,18.1209287188,12.0099785292,59.3929358723,61.3541879676,61.2310304795,68.8468998698,5.19418284017,524.687060945,46.9785690465,87.0424877771
67,12.6616158698,18.1209287188,12.0099785292,62.9762876292,61.3541879676,61.2310304795,68.8468998698,5.19418284017,524.687060945,47.3863230392,87.4468495888
68,12.9363230423,18.7679063313,12.0099785292,63.2768604318,61.3541879676,61.2310304795,68.8468998698,18.7989565352,524.687060945,47.7786622095,88.9687866341
69,12.9363230423,18.8097641737,12.0099785292,63.2768604318,61.3541879676,61.6241123088,68.8468998698,18.7989565352,524.937242816,47.9388040496,89.0533129724
70,13.1471910656,20.2008631303,12.2774500138,63.3847347617,61.3541879676,61.6891514077,68.8468998698,18.7989565352,524.937242816,50.8901429027,89.5526820471
71,13.1471910656,20.2008631303,12.4116963891,63.421539874,61.3541879676,62.7640766577,68.8468998698,18.7989565352,524.937242816,50.981724454,89.6864378759
72,13.1471910656,20.2008631303,12.4770847738,63.6175984711,67.0044029767,63.0784182451,68.8468998698,18.7989565352,525.0891636,51.5187739383,90.3779352606
73,13.1920439666,21.2609881615,12.5288631923,63.6175984711,67.0494184953,71.9188960412,68.8468998698,18.7989565352,525.0891636,51.9208246849,91.4223653018
74,13.347253448,21.2609881615,12.5288631923,63.6175984711,67.1843015677,73.3838431753,68.8468998698,18.7989565352,525.0891636,51.992728588,91.6050596609
75,13.347253448,22.216373634,13.1917003655,63.6175984711,67.2836964644,73.6714446914,69.0215443547,18.7989565352,525.0891636,52.3781510679,91.8615882632
76,13.347253448,22.216373634,13.2252306946,63.6175984711,67.3367396718,73.6714446914,69.0215443547,18.7989565352,525.237055517,53.2335087855,91.9705705804
77,13.3809716852,22.216373634,13.2252306946,64.5406566321,67.3367396718,73.6714446914,69.0215443547,18.7989565352,525.237055517,53.5387182627,92.0967691679
78,13.5808364931,22.216373634,13.2936094663,64.5406566321,67.6224133894,74.5698666314,70.4188135606,18.8517938289,525.237055517,53.6404205936,92.3971839747
79,13.5808364931,22.216373634,13.3617530392,64.5406566321,67.8666375408,74.5698666314,70.4188135606,18.8517938289,525.237055517,53.7454401621,92.438922704
80,13.5808364931,22.216373634,13.4538307446,64.5902818142,68.2486197049,74.5698666314,70.4188135606,19.1291713706,525.356059694,53.7454401621,92.5309293809
81,13.5808364931,22.216373634,13.457592647,65.127939688,68.507101871,74.7832350013,70.4188135606,19.1291713706,526.783455167,55.9197055957,92.9924225028
82,13.5808364931,22.216373634,13.6109788441,70.2054398088,68.5794973772,76.1556504929,70.4188135606,19.1291713706,526.783455167,56.8543316341,93.7534548382
83,13.5808364931,22.2704727498,13.6109788441,70.3624196126,68.5794973772,82.4269964633,70.4188135606,19.1291713706,526.783455167,56.8543316341,94.4016973272
84,14.055347582,22.2704727498,13.6109788441,70.3624196126,68.8936318869,85.5270541967,70.4188135606,19.1291713706,527.021250534,56.9635910265,94.8252731364
85,14.0796132629,22.308158762,13.6152307101,72.508249646,69.627324542,85.5270541967,70.5278202655,19.1291713706,528.054843844,59.4403336098,95.4817800209
86,14.0796132629,22.3175162756,13.6152307101,75.0545721053,69.6601484305,85.7829283358,70.5278202655,19.1291713706,528.054843844,59.5225854679,95.7744430068
87,14.1463947256,22.3251091094,13.6887183935,75.1921395983,69.6601484305,85.7829283358,70.7000566357,19.1291713706,528.054843844,59.6623527737,95.8341863217
88,14.6217769292,22.3251091094,13.6887183935,75.1921395983,69.6601484305,86.1354398787,71.8655507934,19.1832403932,533.06041881,59.704734406,96.5437276743
89,14.6217769292,22.3251091094,13.6887183935,76.0449278295,69.6601484305,86.5108497463,71.8655507934,19.4340554038,533.06041881,59.704734406,96.6916289852
90,14.6217769292,22.3983196518,13.7659943174,78.1966453616,69.6953001411,86.5108497463,72.24884021,19.4340554038,533.06041881,59.8509951112,96.9783195683
91,14.6217769292,22.4258171328,13.7659943174,78.2241112711,69.6953001411,87.0130963291,72.24884021,21.4658941126,533.06041881,59.8509951112,97.2372244365
92,14.6217769292,22.4258171328,13.7659943174,78.866029394,69.8531485655,89.707162347,72.24884021,21.4658941126,533.47760214,59.8509951112,97.628326026
93,18.6462296641,22.4258171328,13.8493940172,80.7764600053,69.8531485655,89.707162347,72.24884021,21.4658941126,533.47760214,64.8449626346,98.7295510829
94,18.6869461473,22.546172349,13.8493940172,80.7764600053,69.8531485655,90.174233916,72.5485490599,21.4658941126,533.47760214,64.8449626346,98.8223362947
95,18.6869461473,22.6230800362,13.8672608098,81.0322698549,69.8531485655,90.8011060424,72.5485490599,21.4762913983,533.534058502,64.8449626346,98.9267673051
96,18.6885389729,22.8090006704,13.8672608098,81.886979692,70.0487128535,91.2456586812,72.6453325978,21.4762913983,533.534058502,76.3018362016,100.250367038
97,18.6885389729,22.8175879693,13.8672608098,81.9273184615,70.0487128535,91.2456586812,72.6453325978,21.6470369561,533.534058502,76.3872007513,100.280870656
98,18.6885389729,22.8175879693,13.9014550456,519.483741291,70.5539033764,92.5070974708,72.6453325978,21.6470369561,533.534058502,76.9045650228,144.26833172
99,18.6885389729,22.8175879693,13.9014550456,519.483741291,70.5539033764,96.7186083388,72.6453325978,21.6470369561,533.534058502,76.9675693258,144.695783238
100,18.6885389729,22.8175879693,14.5771877619,519.549840835,70.5539033764,96.7186083388,72.6453325978,21.6616611829,533.534058502,77.3007955207,144.804751506
101,18.6885389729,22.9627585522,14.5771877619,519.91679279,70.5539033764,97.8302030165,72.6453325978,21.7305512497,533.534058502,78.2717180855,145.07110449
102,18.7071423723,23.041950079,14.9670539306,519.91679279,70.5539033764,98.4203792683,72.8581007032,21.9853000799,533.534058502,78.2856218035,145.22703029
103,18.7071423723,23.041950079,14.9670539306,520.084490339,70.556889663,104.221450538,72.8581007032,21.9853000799,533.625540656,78.2856218035,145.833354016
104,18.727285348,23.041950079,14.9670539306,520.541594946,70.556889663,104.221450538,72.8581007032,22.0581048364,533.625540656,78.2856218035,145.88835925
105,18.727285348,23.041950079,14.9670539306,520.541594946,70.556889663,104.221450538,72.8581007032,22.3174441342,533.625540656,78.7305765726,145.958788657
106,18.727285348,23.041950079,14.9966346287,521.391131302,70.6935123869,104.2677418,75.718953376,22.3174441342,533.625540656,78.9038168829,146.368401059
107,18.7680671214,23.0740367347,14.9966346287,521.670657942,70.6935123869,104.2677418,76.0393273566,22.3174441342,533.625540656,78.9482568664,146.440121963
108,18.7680671214,23.0740367347,14.9966346287,521.670657942,70.898682432,104.318407969,76.0393273566,22.4618816142,534.781808929,80.4353724148,146.744487714
109,18.7680671214,23.0740367347,14.9966346287,522.833599037,71.1280102472,104.318407969,78.7949788633,22.4618816142,534.781808929,80.9442580915,147.210168324
110,18.7680671214,23.0740367347,14.9966346287,522.833599037,71.1280102472,104.318407969,78.8404588798,22.4618816142,534.781808929,81.1324450012,147.233535016
111,18.7680671214,23.0740367347,15.2148238139,523.036693101,71.1280102472,104.318407969,79.3851157913,22.9403582611,534.781808929,81.2219110921,147.386923306
112,20.1059600622,23.0740367347,15.2148238139,523.036693101,72.2811565279,108.568772943,79.3851157913,22.9403582611,534.781808929,81.2608005314,148.06495267
113,30.7384544205,23.0740367347,15.2148238139,523.236476344,72.2999372901,108.568772943,83.6418778208,23.7514137611,534.781808929,81.3457453244,149.665334738
114,30.7384544205,23.1087743275,16.8331451425,523.236476344,72.2999372901,108.968953283,85.8659252926,24.1066212389,534.781808929,81.3457453244,150.128584159
115,30.7384544205,23.2003340639,16.8331451425,523.236476344,72.348581327,109.232559369,85.8659252926,24.1066212389,534.781808929,81.3457453244,150.168965145
116,30.8917572083,23.2003340639,17.0492932131,572.668232652,72.4683000155,109.232559369,87.6671123912,24.1066212389,534.781808929,83.6948489224,155.5760868
117,30.8917572083,23.2003340639,17.0492932131,573.17770226,72.6379077486,109.232559369,87.9332667381,25.0128511491,534.781808929,84.1095904812,155.802707116
118,30.8917572083,23.2180318183,17.0492932131,573.178693569,72.6809781138,109.437706923,87.9332667381,25.0128511491,534.781808929,84.704437056,155.888882472
119,30.8917572083,23.2180318183,17.0792630704,573.178693569,72.7072441965,110.740800324,87.9332667381,25.0631933998,534.850695003,84.704437056,156.036738238
120,30.8917572083,23.2180318183,17.0792630704,573.256327572,72.7072441965,110.769482308,87.9332667381,25.0631933998,534.850695003,84.704437056,156.047369837
121,30.9805106222,23.2180318183,17.0792630704,573.256327572,72.7379078859,110.863120791,87.9332667381,25.1116559037,534.850695003,84.704437056,156.073521646
122,34.107264976,23.2180318183,17.1923336885,635.024254364,72.7379078859,110.863120791,87.9332667381,25.1116559037,534.850695003,84.704437056,162.574296822
123,34.107264976,23.2180318183,17.1923336885,635.281203811,73.0795122939,110.863120791,87.9332667381,25.1116559037,534.850695003,84.704437056,162.634152208
124,34.1082524449,23.2180318183,17.4582234282,642.820209888,73.0795122939,131.654595369,88.5583665637,25.4353984885,534.850695003,84.797752758,165.598103806
125,34.1082524449,23.2180318183,17.4702528523,642.820209888,73.1356858928,131.774942266,88.5583665637,25.4353984885,534.850695003,84.836177088,165.62080123
126,34.1099771294,23.2180318183,18.4996801405,643.438698151,73.1356858928,131.774942266,88.5583665637,25.4353984885,534.850695003,85.1216577488,165.81431332
127,34.1099771294,23.2180318183,18.5686737032,644.653137569,73.1739846197,131.774942266,88.5956917658,25.4353984885,534.946765165,85.2193737206,165.969597625
128,34.1099771294,23.2463191919,18.5686737032,645.201633693,73.1739846197,131.910057617,88.5956917658,25.4353984885,534.946765165,85.2193737206,166.040787509
129,34.118519554,23.2463191919,18.6602731002,645.96761774,73.1739846197,131.910057617,88.5956917658,25.647797161,534.946765165,85.2284728393,166.149549875
130,34.1691113832,23.2463191919,19.1077094275,646.282248775,73.1779906725,132.339803111,88.5956917658,25.7136193628,534.946765165,85.2284728393,166.280773169
131,34.1691113832,23.2463191919,19.2568941702,646.350681988,73.2346694449,132.339803111,88.5984909709,25.7136193628,535.914164956,85.3185601943,166.414231477
132,34.1691113832,23.2463191919,19.3686014977,646.785266445,73.2346694449,133.420676632,88.5984909709,25.7136193628,536.081046342,85.3209979271,166.59387992
133,34.1691113832,23.2463191919,19.4859677711,646.842075051,73.2346694449,133.420676632,88.5984909709,27.43634984,536.081046342,85.5422841334,166.805699076
134,34.1691113832,23.2463191919,19.4859677711,647.244573057,73.2346694449,134.646035542,88.5984909709,27.43634984,536.081046342,85.6496981023,166.979226165
135,34.1691113832,23.2463191919,19.4859677711,647.244573057,73.3685257363,134.646035542,88.6498690301,27.43634984,536.081046342,85.9337381337,167.026153603
136,34.1691113832,23.2463191919,19.5181248376,647.244573057,73.3685257363,134.646035542,88.6498690301,27.43634984,536.081046342,85.9511717182,167.031112668
137,34.1691113832,23.3032063206,19.8292091708,648.694251464,73.3685257363,134.651055618,88.6498690301,27.5349328628,536.081046342,85.9511717182,167.223237965
138,34.5181757836,23.3032063206,19.9381209759,648.694251464,73.3685257363,134.898076057,88.6498690301,27.5349328628,536.148193215,85.9964298312,167.304978128
139,34.5181757836,23.3032063206,19.9381209759,649.678294719,73.7006699731,135.088645754,88.6498690301,27.5349328628,536.240542406,86.9296437268,167.558210155
