Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccOptimalReward
0,0.195713654262,0.302254833621,0.196732895722,0.55272671546,0.930447918639,0.251524565555,1.05420896566,0.215939672279,12.2584197983,1.16730778468,1.71252768042
1,0.522203144467,1.03528258419,0.373077084791,1.96958706626,3.95087730448,1.01976073673,10.3072478381,0.493673134672,14.1823836871,5.13447924676,3.89885718275
2,0.74125335696,1.34230658317,0.882700429769,2.23981640547,4.14752789847,1.38228773454,12.2541377306,0.710637780305,18.1053616871,5.44256763868,4.72485972451
3,1.40584176194,1.57363953875,1.16120430227,2.56382954976,5.37700559441,3.19888835157,17.8129980934,0.999835761811,21.9314325491,6.08295329409,6.21076287971
4,1.67655802308,1.98493335356,1.32204634396,3.50869458693,5.68422674358,3.8599326515,18.1389512281,1.26905478255,22.5771332739,6.34194995913,6.63634809462
5,3.29381782889,2.37512350943,2.07724719005,4.20057683611,5.90110131719,4.39708414168,18.7456055334,2.2256392487,25.9916816374,6.5626495479,7.57705267908
6,3.46444967289,2.59700661398,2.30122679991,4.58875663915,6.4622495591,4.76400487041,19.217500048,3.18026681085,34.1250426081,7.0151113068,8.77156149292
7,3.65854260633,3.28168120727,4.11457278755,4.91828228969,13.8858836601,5.48212723054,35.9552763879,4.12617554399,35.3574286883,7.26987407884,11.804984448
8,4.39561825701,4.3892673503,4.97294488183,5.48389384071,14.2935955903,5.8009249574,45.896822198,5.70330299616,38.091348039,7.89637972578,13.6924097836
9,4.59660644995,4.66668696766,5.20155884282,7.03676261573,14.4814610552,6.24257160475,47.4212020969,6.20449363602,38.9371787887,8.06019254787,14.2848714606
10,4.78478706688,7.17269025622,5.53674791809,7.39988345591,14.7263273626,6.58292092733,48.6227733416,6.57601391436,39.9812870913,9.09105844694,15.0474489781
11,6.61591729247,9.9379050293,5.74001957571,9.15297152243,15.8816058946,8.90460837347,49.2560764449,6.94608651948,40.491651158,9.31305925552,16.2239901066
12,7.18725672642,10.2147859753,5.99953605781,9.74220130086,16.1206692156,9.62694273075,50.5389672692,7.17709765373,43.0847181576,9.49750584724,16.9189680934
13,7.50850049697,12.6759846268,6.27803993031,10.7514251448,16.325530143,24.5982671003,51.4562656693,8.03340538647,44.1992978833,9.71804922624,19.1544765607
14,7.83179014161,13.1151933504,6.46626378625,16.3433132241,16.6004242657,24.9865856783,52.3091120227,8.28015432147,44.6172622375,9.91953073369,20.0469629762
15,8.04972450024,13.6435916083,6.63559927433,18.6356433529,17.0495602082,25.9896554572,52.7396947793,8.53324363144,45.0690523945,10.1221360135,20.646790122
16,8.34498510995,13.9492018349,6.90322361847,19.1426616684,17.5402557312,27.0382226191,53.4691268332,8.71401289388,46.2684109722,10.3250618584,21.169516314
17,8.89406411182,15.3407930222,7.13828092998,19.3851352822,18.120130689,27.4764089681,53.9297182193,9.83720722401,47.2697267896,10.5244815953,21.7915946832
18,9.11825464824,16.3931478232,7.80370920991,21.5144919963,18.5594691764,28.4950721378,55.5333096996,10.0123694239,48.3656737538,10.8366464844,22.6632144354
19,9.3359716164,16.6367460062,8.03876652141,21.7894587271,19.0010071271,28.9042524597,56.4119339644,10.9731054708,50.0330729797,11.0558984893,23.2180213362
20,9.76845236886,16.9312494585,8.46471142175,22.1666929372,19.1950576676,29.273979004,57.0715891529,15.6342129061,50.65564068,11.2725881314,24.0434173728
21,10.2365569251,24.0469515567,8.63847401783,22.6413484007,19.397988393,31.867209273,58.0332127335,15.9867431441,51.2863690417,11.4948391389,25.3629692624
22,11.2750798145,24.997157878,8.89162226659,23.2053732964,19.6054415676,34.8840228285,58.5636347546,16.2895499709,57.0966415756,11.9057343633,26.6714258316
23,11.6654155785,25.5211928861,9.10853676227,23.6457820682,19.9687342684,35.3719210982,59.2507343471,17.4035961542,61.9395141856,12.8048622573,27.6680289606
24,11.91287138,25.7676403924,9.27307245789,24.1503264853,20.999521103,35.8252803911,63.2357139997,17.9881499026,62.5280039528,13.1882716031,28.4868851668
25,12.2386836666,26.8088911339,9.4498008256,24.7203847698,21.1873827343,36.3407609864,66.5198062907,20.7292714139,65.8295423618,13.5541399717,29.7378664155
26,12.6827016247,27.1474315259,9.67734544649,26.7170062656,22.0144486516,189.001619869,67.2429830256,21.7549081164,69.6338562,13.9259509609,45.9798251686
27,12.9842150832,27.3875421308,10.1130072928,27.0829733284,22.2035109517,189.587969588,68.074545102,21.9950064368,74.4185735851,14.2268511553,46.8074194654
28,13.1769939105,27.9694464569,10.3540610627,27.6544679856,22.4498294357,189.970203051,68.6164709585,22.3902213327,143.607355285,14.4224899224,54.0611539401
29,13.4144999054,28.2571081557,10.5262439562,27.8385928726,22.7758663817,193.044140048,76.2463245828,22.6329498506,144.268342044,14.6382817579,55.3642349554
30,13.6077534646,29.4339557487,11.0886775928,28.1995530136,23.3002010895,200.966819095,77.7693723348,31.1711634529,146.677413623,14.9158921754,57.713080159
31,13.864079323,29.7820372419,11.4324205065,28.8341412316,23.5140654845,203.207684917,78.6520167761,31.5658367485,148.759600709,15.2463244058,58.4858207343
32,14.0933688054,31.5116199317,11.8528750918,30.3193117298,23.8721893819,203.671298073,80.2259477782,31.8634891818,160.351137138,15.5221201611,60.3283357273
33,14.2844413633,31.8230175883,12.3714511789,30.5439476471,24.1315889004,204.965156859,80.6044411506,34.6380199653,170.359670807,15.746664905,61.9468400365
34,14.462608477,32.8310925238,22.0585996279,32.1386518432,24.8577189246,205.347950401,88.242734132,37.8841151184,170.918070499,15.9601632846,64.4701704831
35,15.080941632,36.4050027793,22.2442037296,33.0045654967,25.0759378813,206.098502659,89.7958984801,38.8755691899,173.282084323,16.1975712862,65.6060277457
36,16.0466454665,37.1978003606,22.4743817255,33.5060594774,25.349751448,208.770588871,91.8464896624,39.0750564349,202.624697273,16.5282315321,69.3419702251
