Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccOptimalReward
0,0.306993296333,0.323298523835,0.356684983427,0.337847066956,4.20581753605,0.668959675892,2.41719322187,0.620573323941,0.659364447119,0.493122213418,1.03898542888
1,0.531725062437,0.689230287062,0.832088343698,0.528393445589,6.67557578779,1.85954238074,4.68663806391,1.30298930958,1.519052583,1.09790281355,1.97231380774
2,0.781047911748,1.10309565466,1.09885314103,0.808357257485,8.42966276738,2.36502853207,7.19894521366,1.86987735034,2.04418130049,1.85752087962,2.75565700085
3,1.02272820609,1.3425253509,1.4675918227,1.22526144281,11.1915384201,2.86180814058,9.92109184923,2.52334661378,3.09653800858,2.38208479808,3.70345146529
4,1.38661429398,1.8155011305,1.68575856883,1.50672601268,13.6365221715,3.92336747837,12.206905436,3.12261243528,4.00898667272,2.87832858432,4.61713227842
5,1.59659364898,2.18568698575,2.05589428807,1.87027011256,16.5062339127,4.24189126597,13.8367162848,3.897484649,4.82947004689,3.77276892546,5.47930101201
6,1.82676268101,2.56942480504,2.37923001021,2.1891740593,19.1261747617,4.82314640451,16.4098305679,4.26902701452,5.24424777723,4.27151347215,6.31085315536
7,2.12727858045,2.8970129638,2.58039075191,2.65189140289,22.4872870122,5.33024044906,18.589121194,5.21573158378,6.16382204222,4.56946592574,7.2612241906
8,2.37865662463,3.21124979316,2.83845964431,2.92308312076,25.2990126699,6.10176370746,20.7463888014,5.97281385634,6.5560155353,5.29539201653,8.13228357698
9,2.70156918747,3.69181094535,3.11409131486,3.2842671579,29.1590372293,6.93879341379,23.3339047599,6.50627327654,7.42203275868,5.85486644566,9.20066464895
10,2.97038429775,3.99602483414,3.44179615966,3.59777158358,31.4433542103,7.78051614238,25.8752741748,6.88289540689,8.77279477771,6.79438339283,10.155519498
11,3.19447851546,4.36195659737,3.76778219864,3.89526451899,33.6565433126,8.45990099837,28.5398928175,7.54870154957,9.82662712742,7.38517361115,11.0636321247
12,3.51812650937,4.72936035946,4.08845392833,4.19888943915,34.8553621018,9.32315784536,30.8276676152,8.26859013255,10.4462812092,7.98235714318,11.8238246284
13,3.75959456537,5.11618570031,4.2975652245,4.49665494277,37.7238156026,10.7054449494,33.2318186483,8.73764805254,11.3867047945,8.72500435681,12.8180436837
14,4.08377066894,5.58779974229,4.60231294684,4.78717795195,41.1391208444,11.278612843,35.7885606975,9.35328829657,12.4678660093,9.28677682874,13.837528683
15,4.30818890806,5.94414862084,5.1818697975,5.11865340899,43.9911326333,11.7816526751,38.7025068796,10.0902333557,13.3465129236,10.0003393918,14.8465238594
16,4.56349309984,6.29235070837,5.57419691438,5.47301954646,44.4344790518,12.3519773002,40.1119846808,10.7220530784,14.1984606024,10.7452428639,15.4467257847
17,4.85670452162,6.68725701944,5.95999435365,5.82637383031,46.870447918,13.1163149804,42.5377889127,11.2159622596,15.2307170342,11.1042610368,16.3405821867
18,5.14290527773,7.11923654895,6.35674741593,6.18120194555,48.9551856811,13.755016491,45.688597093,11.6327003545,15.9257883707,11.9948234533,17.2752202632
19,5.35522077292,7.47319575698,6.65443263854,6.51752928142,51.1722996357,14.1778737412,48.6919510263,12.1079760303,16.2797679742,12.5062333425,18.09364802
20,5.55445762883,7.94030128092,6.89192595383,6.72688105333,53.2869843037,14.8934945635,50.1490922835,12.5518503954,17.191077836,13.1852276671,18.8371292966
21,5.80507707919,8.29421452922,7.29171762507,7.00202322784,55.9248650634,16.1628053268,52.6420475298,13.2822026117,18.0034451536,13.9667452449,19.8375143391
22,6.0921912597,8.77003976134,7.60178169262,7.35658936698,57.7448550251,16.8187312694,55.2862075518,13.7586092328,18.8886708634,14.5452786817,20.6862954705
23,6.35939892324,9.20061593058,8.029499567,7.58464354855,59.7961635217,17.4072502478,57.696998802,14.4457417505,19.8404660247,15.083328727,21.5444107043
24,6.62771308207,9.64024040933,8.4344388056,7.89087248349,63.7688307125,18.3306300803,60.1244052706,15.1613675324,20.6540914779,16.0515789807,22.6684168835
25,6.88614339099,10.0232779672,8.80381963438,8.07752715252,66.6786596327,19.1336556624,61.1567524517,15.6189527614,21.4137490625,16.6874740572,23.4480011773
26,7.17502069903,10.4670834374,9.15142660998,8.37001311021,69.318618099,19.8720279627,63.5508008883,16.1843392827,22.6088792111,17.3190554953,24.4017264796
27,7.36245180291,10.9483215107,9.61190777492,8.66638356299,71.9245526377,20.4627725135,65.9194760111,16.7807003136,23.1180407081,18.0360242614,25.2830631097
