Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccOptimalReward
0,0.224692355471,0.249074245084,0.208375932594,0.604961265157,1.07299230163,0.0491733102645,0.19448982374,0.220548588372,0.217102762975,0.213616687673,0.325502727296
1,0.430693410573,0.481248631712,0.429900796417,2.9056379956,2.98614211638,-0.134260596173,0.329245353692,0.434485845589,0.386996738755,0.321825432679,0.857191572522
2,0.621947727879,0.696490722163,0.641239359884,2.94622297525,4.31958666042,0.879623540994,0.50981551194,0.661090357288,0.562661997026,0.451330051823,1.22900089047
3,0.789649122329,0.885727561693,0.836753771714,4.11273337363,5.58599452199,1.39816039042,0.658116714283,0.90235451177,0.744221260655,0.600611205401,1.65143224339
4,1.01035516212,1.0500637719,1.04649182232,4.31407015302,6.92634304873,1.87101112067,0.796107982199,1.10693298295,0.901432288443,0.813321286706,1.98361296191
5,1.23657708951,1.29417760212,1.20344115163,4.99933342387,8.27603676518,3.60454719768,0.990468519506,1.29452613601,1.14667445589,0.93169653056,2.4977478872
6,1.42655103522,1.59099000266,1.45229759337,5.52043493806,8.94122313948,3.62875239441,1.10379791248,1.52644887175,1.35328951401,1.06982251238,2.76136079138
7,1.66441552796,1.85979963586,1.68322537234,6.15247507983,10.2032251905,5.02642418353,1.22071928962,1.7788812275,1.53839237975,1.23086031805,3.2358418205
8,1.91993149178,2.01916504123,1.88581881669,6.83773835067,11.4347680508,5.86306311064,1.29102632216,1.95307808387,1.77769181878,1.4007838948,3.63830649814
9,2.11545405721,2.23651197485,2.13467525843,8.12022230293,12.6590152598,6.83953831691,1.45715088546,2.13077796027,1.96830765485,1.54783313513,4.12094868059
10,2.32824417959,2.45497272807,2.33096509522,8.19220793847,13.6534687739,5.27445644574,1.66344398977,2.38705976008,2.16605707262,1.63457404091,4.20854500244
11,2.54148011482,2.64335203901,2.49568351811,7.61770984593,15.2972862088,5.59768224876,1.78649862817,2.57260811532,2.40159365786,1.7870936145,4.47409879912
12,2.78110094089,2.84627523445,2.68541896867,8.43983208766,16.3873694674,6.20726635226,1.93036878177,2.82871982271,2.5986386861,1.99811496133,4.87031053032
13,2.98734707651,3.01734771042,2.88111780097,9.76857777561,17.3966950376,7.09688572039,2.10069962169,3.11528626268,2.73593797977,2.15692057976,5.32568155654
14,3.16172713175,3.20970672822,3.05864846043,10.3919215829,19.0084544521,7.36343000181,2.20698613144,3.21444196826,2.91764277748,2.29592573966,5.6828884974
15,3.34690976393,3.40077793148,3.27344737822,12.2343353923,20.40050968,7.43355067688,2.34308694142,3.45805904946,3.13421133072,2.45668370731,6.14815718517
16,3.64251948089,3.63706238893,3.47164227487,12.4766284831,21.6836856932,8.22167177517,2.46558423384,3.71292104771,3.2937257142,2.59698011268,6.52024212046
17,3.84072974853,3.84703626938,3.68588417342,13.5264010746,23.1081373454,8.4895056175,2.64705285747,3.90875290297,3.48072467827,2.76913436488,6.93033590324
