Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccReward
0,-0.125587386014,0.164124911387,1.15393087265,5.2705661815,2.18167325204,0.553510010496,0.0766068382157,-0.907353425286,-1.63660543582,1.30274316345,0.803360898262
1,-0.33765731432,0.342124504148,1.21876100052,5.5804961367,9.60530735307,5.2630506141,0.563812508911,-0.828520664161,-515.151308999,1.4878879174,-49.2256046943
2,-0.18238497179,0.538919983602,1.47866051528,7.13336491172,10.0067502556,6.56776526756,1.27908021505,-0.414421831681,-494.811564345,1.48122142308,-46.6922608576
3,-0.0794124769437,0.646196008811,1.58377775396,7.29921230824,10.168871682,6.83192174482,3.89691721713,-0.131007711947,-488.922649481,1.51333522325,-45.7192837732
4,0.0454503247364,0.796807831961,1.66383346264,7.73862405553,10.39021235,6.91799405307,9.37667956028,0.064452332466,-483.385310141,1.63388183193,-44.4757374338
5,0.262177407006,1.56017459629,1.75039260972,8.15136425066,10.6412440018,7.14731749972,10.2832291982,0.515169900965,-482.296106548,1.84670589436,-44.0138331189
6,0.389153061103,-4.82738543471,1.70427907892,6.47245036819,11.3433834302,7.6151257478,11.7516387735,1.09130628701,-479.803592527,2.12857778627,-44.2135063429
7,0.379037704167,-4.68908421101,-1.43700727526,6.78226080361,12.5089075334,7.73669293444,12.4038093638,1.2466852701,-466.492848771,2.19593619446,-42.9365610454
8,0.557248455854,-3.42093590375,-1.21092453007,7.2735232809,12.7458886965,8.52813930537,14.4131693043,9.78489887243,-465.384973983,2.39569527653,-41.4318271225
9,0.746094546523,-3.07353664128,-1.61278386437,4.50603244209,13.0707176572,8.48509067058,43.0853564096,10.8297603174,-464.52968599,2.41527548086,-38.6077678972
10,0.92527637236,-2.8142879566,-1.76576234777,5.40159687778,13.3723577852,7.87720334368,48.3929862987,11.0828496274,-461.450168143,2.0642903616,-37.6913657781
11,1.2042116462,-2.15642078683,-1.61958341293,5.44559855356,13.29836301,8.13439006217,49.5018394624,12.5103668701,-461.105481538,2.19048178189,-37.2596234351
12,1.43214646015,-1.14834585135,-3.9704604904,5.64955126921,13.5028352417,8.32570182994,53.9780057414,13.4793256242,-460.725678022,2.31733635036,-36.7159581847
13,1.5946975504,-0.908083281817,-3.53409475875,8.39987858521,13.6227879639,4.77129475193,63.9195515515,14.3285054623,-455.794550592,2.34338974626,-35.1256623021
14,1.74741294097,1.53433994567,-4.26397948721,8.69038177619,13.7302142125,5.19140586045,64.6733302525,14.495570673,-446.096018915,2.50912166506,-33.7788221076
15,1.35159607967,3.51385169651,-4.04100663765,11.9584322265,13.659847403,4.07020387399,65.7300301549,15.4971456977,-442.15660185,2.77180978481,-32.764469157
16,1.63153734179,3.92408845328,-3.84769951909,12.3722244194,13.6294653429,4.06741562734,105.223356248,17.6034925412,-441.206879434,2.93892313866,-28.3664075841
17,1.87457282753,6.47859363614,-3.54164779545,13.0887613038,13.6333333629,4.79384621114,105.879672699,18.0848071241,-442.168541403,-2.01689804078,-28.3893500075
18,2.07061470874,6.74128260011,-3.39538746635,13.7699612687,13.7543594403,5.43694518627,106.36071008,19.5536075925,-442.085194625,-1.1356727079,-27.8928773923
19,2.10396125497,6.99414706959,-3.33947632806,16.8097178087,12.8147823046,5.59884603355,106.819378654,20.767988183,-419.611393473,-1.0419244893,-25.2083972981
20,2.29222198646,7.19487380351,-3.14821906516,15.8866624948,13.2703225792,7.48900531275,108.113827709,21.099529365,-418.919665106,-0.948953301355,-24.7670394222
21,2.38020518194,7.75492875395,-2.96876842795,16.4522003832,13.502368133,7.72319831663,108.70239427,21.4753452051,-407.008837148,-0.845482281161,-23.2832447613
22,2.43558550843,8.57832727885,-2.73388821066,16.8623127984,12.8437485395,7.88509916392,119.220548566,22.1422517727,-401.949539005,-0.651946373673,-21.5367499962
23,2.53325870597,8.78212873821,-2.5392058648,17.4605205904,13.3259396461,7.90968308399,138.979227516,22.4574431905,-401.31265237,-0.482858688593,-19.2886515453
24,2.625426737,9.10144879862,-2.25618901011,18.7081126503,13.4599452419,7.74981216252,141.852776889,22.7496193797,-400.975329279,-1.96290241124,-18.8947278841
25,2.78427693397,9.3189172019,-2.12330212579,20.4791971753,13.6594847539,7.86385978162,142.577530589,24.0992181913,-396.585903139,-1.81566749549,-17.9742388133
26,2.99879916051,10.238674833,-1.83689665473,20.8773685987,14.0219943045,7.52692789251,154.177524702,22.6350275012,-396.08548796,-1.93922472946,-16.7385292352
27,3.27417308447,10.3781614681,-1.53416536702,21.3251181263,13.9555943469,7.56981905647,154.702980213,23.2154427386,-395.900137281,-1.72931951158,-16.4742333126
28,3.45660156454,10.8622879495,-1.29056809318,36.6593990475,13.5005138551,7.70850742998,157.320817215,23.8340792301,-395.756844672,-1.59258470576,-14.529779118
29,3.49174343491,11.0532129426,0.014658935486,39.8370786736,12.9729028279,8.57826955238,158.615266269,24.3211528549,-393.700846125,-1.23146671776,-13.6048027352
30,3.73984204638,11.4853613985,-0.0938257690905,39.971017118,13.1886583155,8.55353627504,112.470399609,24.9779804692,-386.563986486,-1.06781149031,-17.3338828514
31,3.34025951667,11.7904518421,0.151473558591,40.3431428685,11.6667185733,9.60210343694,113.130285756,25.9214825718,-385.561722216,-1.07447887308,-17.0690282965
32,3.70156211518,12.2081904412,0.341140277611,41.694786981,11.8614020392,10.1748666858,113.731773005,26.9916515895,-385.092412489,-0.991975067745,-16.5379014421
33,4.14079068682,66.824244201,0.767229846879,42.004968362,12.1543157011,11.3579077001,114.269772288,27.3983569418,-368.308296225,-0.799158141333,-9.01898686382
34,4.34227884633,66.9807469281,0.983223884789,43.2780508386,12.5506768357,9.02286817278,115.748744495,27.7011637685,-367.588619368,-1.32996738171,-8.83108329796
35,4.43094204953,67.2656926189,1.16268005217,44.5150250829,12.7858948293,8.09046602313,114.728935625,28.1035739113,-366.726739484,-1.10475314222,-8.67482824339
36,4.86434433319,67.6042330109,1.33690491912,44.0276172125,13.0606733593,8.41292811439,116.255881173,28.492103886,-364.661895159,-1.03632127082,-8.16435304216
37,5.07448825313,67.9257204104,1.53918969943,44.3677059512,13.4513284409,8.6451708667,145.86039171,33.8077829383,-364.390481325,-0.73259477301,-4.44512978279
