Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageRegret
0,0.0,0.214845571747,0.0272955114576,0.0,2.33797744754,0.442649586851,0.473013640044,0.500566790958,0.573499235646,0.180071589759,0.4749919374
1,0.105668217762,0.214845571747,0.488482477438,0.0,2.88480855965,0.769595340408,0.732911746493,0.664953655168,0.589891499225,0.180071589759,0.663122865765
2,0.105668217762,0.298257456811,0.945910654752,0.152112630511,3.75802213708,1.00256959891,0.732911746493,0.765671789118,1.35931966064,0.180071589759,0.930051548183
3,0.105668217762,0.449731518332,1.07670799848,0.491326210676,3.75802213708,1.35139043409,0.732911746493,1.35277180827,3.02512383026,0.180071589759,1.25237254912
4,0.174892743653,0.479363796524,1.11821223382,0.66762716467,4.18537352251,1.62086824465,1.27637077518,2.06400532535,3.74562306945,0.180071589759,1.55124084656
5,0.174892743653,0.479363796524,1.41542299209,1.05204095714,5.98458770592,2.38018165198,1.27637077518,2.26888777591,3.92917251646,0.180071589759,1.91409925046
6,0.305612737818,0.479363796524,1.49081272907,1.05204095714,6.96664379818,2.79009679841,1.27637077518,2.97645293693,4.62205090783,0.303916429432,2.22633618665
7,0.349948809657,0.74685849931,2.00474399783,1.19380312413,6.96664379818,2.79009679841,1.34737470825,3.16174904055,6.13055295862,0.561547133985,2.52533188689
8,0.349948809657,0.74685849931,2.33247859173,1.26087713151,7.64795759866,2.86789915831,2.19315569232,3.75955780222,6.13055295862,0.561547133985,2.78508333763
9,0.349948809657,0.896093091945,2.72305764875,1.56455044257,9.01366357288,3.23579800586,2.19315569232,4.03023820246,6.13055295862,0.561547133985,3.06986055591
10,0.349948809657,0.91910010942,3.02223452812,1.89957253411,9.01366357288,3.23579800586,2.75728691193,4.52030568232,6.50154904239,0.561547133985,3.27810063307
11,0.349948809657,0.978479812136,3.29605520554,1.99992820906,9.43736162421,3.23579800586,2.75728691193,4.90656337273,6.97213811095,0.561547133985,3.44951071961
12,0.349948809657,1.06872720218,3.3754177266,1.99992820906,9.55484017446,3.23579800586,2.87954737412,5.75045232427,7.34955360817,0.731315865262,3.62955292996
13,0.37626914202,1.22354103696,3.3796781633,2.12179259101,12.1007479912,3.23579800586,2.87954737412,6.61802126096,7.41066921692,0.731315865262,4.00773806476
14,0.37626914202,1.30600178203,3.42298032664,2.64865672817,12.1007479912,4.48656039461,2.98178581465,7.54791572811,8.03263055343,0.731315865262,4.36348643261
