Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageRegret
0,0.0,0.292380507062,0.354185032261,0.293086021445,1.08626831284,0.0,0.641455183388,0.37498288835,0.0,0.797940087659,0.384029803301
1,0.0,0.490474096639,0.407351274322,3.03697816341,1.13555443096,2.4492202319,0.641455183388,0.37498288835,0.0,1.16114134209,0.969715761105
2,0.0,0.490474096639,0.407351274322,5.59663329732,1.44243340619,3.6640556155,0.641455183388,0.563186329401,0.0516622259043,1.16114134209,1.40183927708
3,0.0,0.490474096639,0.645659540562,6.35734379251,3.46311558052,4.92740853648,0.641455183388,0.954921108863,0.0516622259043,1.16114134209,1.8693181407
4,0.0,0.490474096639,0.645659540562,6.8199485332,3.53119154942,5.98291410441,6.7983878638,1.01947765984,0.0516622259043,1.3499976444,2.66897132182
5,0.0101652313188,0.490474096639,0.645659540562,7.38702438087,3.78820240552,6.68278978119,6.7983878638,1.01947765984,1.2628057494,1.3499976444,2.94349843535
6,0.0661869647305,0.490474096639,0.645659540562,7.38702438087,3.9830296933,7.54405628345,7.94169757356,1.01947765984,1.2628057494,1.3499976444,3.16904095868
7,0.0661869647305,0.490474096639,0.645659540562,7.52531474966,4.09591176551,8.55707502843,7.94169757356,1.01947765984,3.90006057473,1.3499976444,3.55918555981
8,0.0661869647305,0.490474096639,0.645659540562,7.52531474966,4.76484037397,12.747941805,8.51340400265,1.01947765984,4.2752806177,1.78937880546,4.18379586163
9,0.0699508216133,0.551886603545,0.651380246546,7.52531474966,4.87157277206,20.2072497187,8.51340400265,1.09997062302,4.2752806177,1.78937880546,4.9555388961
10,0.0699508216133,0.551886603545,0.651380246546,7.52531474966,5.01152718654,20.5086192416,10.1956819747,1.09997062302,4.2752806177,3.09027000203,5.29798820669
11,0.0699508216133,0.551886603545,0.651380246546,7.95987030405,5.08858783147,21.2514944273,10.3341385434,1.32858386058,4.2752806177,3.09027000203,5.46014432582
12,0.982825664949,0.551886603545,0.651380246546,7.95987030405,6.7056582499,22.136002833,10.3341385434,1.32858386058,4.2752806177,3.23372474169,5.81593516654
13,1.06161162266,0.551886603545,0.651380246546,7.95987030405,8.53817109579,24.7580642899,10.3341385434,1.32858386058,4.62082170592,5.46503477015,6.52695630426
14,1.12009156958,0.551886603545,0.651380246546,9.10706715454,9.3720275437,26.1695560466,10.3341385434,1.32858386058,4.62082170592,5.9746613548,6.92302146292
15,1.12009156958,0.551886603545,0.651380246546,9.10706715454,9.48988442793,26.5335033583,10.3341385434,1.33060746274,4.62082170592,6.63373675354,7.03731178261
16,1.14170499154,0.551886603545,0.651380246546,9.48202260304,10.2521330379,29.4405012006,10.3341385434,1.4391164011,4.62082170592,6.63373675354,7.45474420872
17,1.18670834564,0.551886603545,0.686548010994,9.48202260304,10.410659735,31.4688710674,10.3341385434,1.4391164011,4.62082170592,7.48220622682,7.76629792428
18,2.16403144989,0.551886603545,0.686548010994,9.48202260304,12.3275682953,40.6404950048,10.3341385434,1.45165018095,4.62082170592,7.62977381974,8.98889362176
19,2.18409207373,0.551886603545,0.935834621146,9.82238315873,13.0397116629,41.0181714651,10.3611718458,1.45165018095,4.69365106804,7.73522277304,9.1793775453
20,2.6554032373,0.850844593935,1.33616263565,14.053716742,13.1397020629,41.4562865,17.4097974537,1.61009963022,4.69365106804,7.73522277304,10.4940886697
21,2.82057347905,1.36877761519,1.7550353471,14.053716742,13.6956105552,50.5552293028,17.4097974537,2.30373303913,4.69365106804,9.89561966967,11.8551744272
22,2.97959413184,1.6182128367,1.7734045652,14.3809321575,14.35669286,51.5982150583,19.7519522999,2.30373303913,4.69365106804,9.91232279765,12.3368710814
23,3.04569286032,1.86261526171,2.40302606326,14.3809321575,14.7251470048,173.579508543,20.35355719,2.30373303913,4.78951945202,10.5947397993,24.8038471371
24,3.09603421726,2.40905996442,3.38789687696,14.3847803011,15.0948906831,175.780738455,20.35355719,2.30373303913,4.78951945202,10.5947397993,25.2194949978
25,3.1985439226,2.40905996442,5.14611732736,16.8533876491,15.0948906831,176.878332925,20.35355719,2.30373303913,4.78951945202,11.1878190338,25.8214961187
