Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageRegret
0,0.044406500073,0.112984802719,0.362490074737,0.212486855996,0.0,0.0,0.737579702797,0.0,0.0901060294651,0.0,0.156005396579
1,0.044406500073,0.188978501838,0.362490074737,0.708902315591,0.0,0.0,0.776491212588,0.106584964997,0.0901060294651,0.022552330233,0.230051192952
2,0.176349728077,0.265487594731,0.472787876162,0.736541770274,0.0346269249458,0.0,0.776491212588,0.299811443358,0.0901060294651,0.022552330233,0.287475490984
3,0.322856898082,0.265487594731,0.472787876162,0.736541770274,0.0346269249458,0.0,0.776491212588,0.299811443358,0.418753353352,0.022552330233,0.334990940373
4,0.322856898082,0.265487594731,0.665347642957,0.736541770274,0.0346269249458,0.0,0.776491212588,0.466030930902,0.624186117212,0.0969686927046,0.39885377844
5,0.322856898082,0.324005286084,0.665347642957,0.834774959234,0.0535454298284,0.0,0.795117374307,0.466030930902,0.654260263626,0.147594901673,0.426353368669
6,0.322856898082,0.324005286084,0.714949738361,0.843345696536,0.0556836944089,0.160745620637,0.795117374307,0.466030930902,0.881176622768,0.147594901673,0.471150676376
7,0.402465466109,0.375935002351,0.763030692848,0.843345696536,0.0556836944089,0.160745620637,0.795117374307,0.466030930902,0.902411304431,0.250626386568,0.50153921691
8,0.438790196218,0.439369548612,0.763030692848,0.843345696536,0.0556836944089,0.160745620637,0.954575763494,0.470995645072,0.940876491173,0.250626386568,0.531803973557
9,0.438790196218,0.468272920955,1.10598672074,0.843345696536,0.0556836944089,0.160745620637,1.08938635476,0.531558953355,0.940876491173,0.272530509603,0.590717715839
10,0.438790196218,0.580311347458,1.28688776684,0.843345696536,0.0556836944089,0.202458811422,1.08938635476,0.621583783189,0.940876491173,0.272530509603,0.633185465161
11,0.438790196218,0.666828657953,1.46898658996,0.843345696536,0.0556836944089,0.202458811422,1.08938635476,0.621583783189,0.940876491173,0.272530509603,0.660047078522
12,0.48965931936,0.821435610015,1.46898658996,0.843345696536,0.0556836944089,0.202458811422,1.10979346093,0.659023752309,0.988132186233,0.308486968358,0.694700608953
13,0.556562154264,0.914295290073,1.47299592547,0.851511745628,0.0556836944089,0.202458811422,1.10979346093,0.678168888903,0.988132186233,0.308486968358,0.713808912569
14,0.575422238356,0.914295290073,1.51860712977,0.851511745628,0.0556836944089,0.202458811422,1.12828144821,0.764969733478,1.08030428247,0.308486968358,0.740002134217
15,0.611892128422,0.914295290073,1.7182048634,0.851511745628,0.0556836944089,0.202458811422,1.14787379789,0.764969733478,1.20254390106,0.340316279352,0.780975024513
16,0.630310018857,1.08212564937,1.92739553781,0.851511745628,0.0556836944089,0.203186504364,1.14787379789,0.840015079619,1.20254390106,0.340316279352,0.828096220836
17,0.630310018857,1.08212564937,1.95882191316,0.851734010532,0.0556836944089,0.203186504364,1.14787379789,0.840015079619,1.21252630126,0.340316279352,0.832259324881
18,0.691779689076,1.22645032624,2.04299220325,0.876276656977,0.0556836944089,0.235551503983,1.39238693599,0.919981048611,1.21252630126,0.340316279352,0.899394463914
19,0.733544283216,1.35131139907,2.04299220325,0.876276656977,0.0556836944089,0.235551503983,1.55071428323,0.930739902813,1.2784754421,0.373053954291,0.942834332334
