Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccReward
0,0.209456547672,0.164991344304,0.274792345911,0.376863105253,0.560481023021,0.666794679198,1.64581901316,0.144881664411,0.217971109813,0.47294706069,0.473499789343
1,0.343684612781,0.595771951239,0.12790011659,0.830337749471,1.90769373709,1.41657770271,3.32556670975,0.545793528994,0.803625183743,1.07608908935,1.09730403817
2,0.584025122209,0.985281132596,-0.00340355090746,1.04769233282,3.5047094432,2.3957883695,5.37164597496,0.883072932863,1.04981237659,1.97052943049,1.77891535643
3,0.969722904254,1.17791393495,0.380594732088,0.995714366669,5.04038280065,2.73092772911,7.43406286832,0.749118726429,0.630387104871,2.61053873098,2.27193638983
4,1.14941261283,1.71788349009,0.497699297154,1.12108493657,6.6998914128,2.96786307875,8.7582749138,0.696972780017,1.18592211968,3.34475298154,2.81397576232
5,1.46875534904,2.24508071762,0.653056007756,1.14875294705,7.37090651293,3.18191869003,11.6503835027,1.02840940095,1.61934726229,4.06716612962,3.443377652
6,1.58799474919,2.67694539787,0.818714420851,1.45208786089,9.17268942426,3.22193329369,13.767711943,0.91509187067,1.70235289523,4.36826821916,3.96837900748
7,1.78565138986,2.79737894259,0.792614059849,1.64536108774,11.8887482968,3.91403350109,15.1270780013,1.27313940415,1.12080683099,4.50236674355,4.4847178258
8,2.05352817128,3.26576486471,0.81248644154,1.88391296913,13.8598232316,4.32010662116,16.0933005726,1.38842228403,2.24559528242,5.27659878729,5.11995392257
9,2.33995548822,3.58434269181,0.883092483668,1.95828147561,15.1854948294,4.84680787422,18.8152677914,1.79438398397,3.07167745816,6.00935085873,5.84886549353
10,2.59525968,3.87182723075,0.911176990028,1.88511584212,18.0687885029,5.98806571263,20.1443322142,1.81552206855,3.5922934201,6.48136509968,6.53537467609
11,2.86175901011,4.2023243801,0.955723352523,2.03595397292,19.9422991327,6.89061214386,22.8670503206,2.0142078996,4.16195872844,7.10547922143,7.30373681623
12,3.1280097317,4.53788419658,1.15943236378,2.25086135575,22.5877196074,8.36541424905,25.176080576,1.83520656621,4.76504209541,7.48099803452,8.12866487763
13,3.34186510501,4.73633242037,1.41992984731,2.39996536561,22.6942005258,8.9466693876,27.1533130305,1.97822344776,5.51849218363,7.97928742291,8.61682787365
14,3.57428587908,5.06738362804,1.57527423096,2.30106097428,25.2945306938,8.80431655875,29.2506119454,1.87861816155,5.533230588,8.62403122979,9.19033438897
15,3.81828043712,5.2377686813,1.77757358979,2.33608779891,25.8451420461,9.55409958226,31.8505301053,2.036134756,6.40584906055,9.13610669317,9.79975727504
16,4.11563679962,5.54405758577,1.79057517814,2.26884626629,28.1585850749,10.3346520347,33.3750200911,2.16669155656,6.51863896486,9.75612247579,10.4028826028
17,4.3211399706,5.9678735636,2.04692819793,2.46920038845,28.6322455964,11.2223042832,35.8315277909,2.49325910811,6.74943998495,10.6033414836,11.0337260368
18,4.54905451898,6.13237063027,1.94433040586,2.54511120617,28.948414256,11.7388395637,37.2085732006,2.77187959583,7.32712357068,11.4526982652,11.4618395213
19,4.75977411998,6.56162445448,2.28639586535,2.75818445385,29.438506871,12.3518893045,36.8067983324,2.61661633603,7.59492103226,12.1169917705,11.729170254
20,4.96310176049,6.81888688185,2.16070909056,2.9021077411,30.9503337104,13.4437212248,37.781661022,2.93920710905,8.47000807977,12.6359188262,12.3065655446
21,5.26619198469,6.99708418971,2.18876106252,3.09141994972,33.3604813845,13.7618002661,40.2361963407,3.41116326261,9.57602890779,13.1009237174,13.0990051066
22,5.54364423297,7.22863357975,2.4271713595,3.17640681489,35.2248659887,14.1376993071,42.0805267886,2.96310296413,10.7008173592,13.817856067,13.7300724462
23,5.77131288129,7.59892023626,2.31310294881,3.33632448137,34.9002665768,13.9453224953,43.4833349666,3.03099943804,11.5367953864,14.2168842063,14.0133263617
24,5.99896512168,7.73572437651,2.49868066108,3.39292498646,37.4759024637,13.5174510045,45.8940774055,3.07247572545,12.296452971,14.5210107767,14.6403665493
25,6.20371929928,8.10425284845,2.52063229882,3.38326293959,39.8877739726,13.9401784471,46.1183053021,2.92902002016,13.1543746002,15.1772100983,15.1418729827
26,6.48643301532,8.43300795754,2.54251892051,3.53106571597,41.9803666753,14.4866203063,47.6551161186,2.5374899474,13.7501219088,15.8288401793,15.7231580745
27,6.70588943523,8.57703515102,2.51222854546,3.69989822881,44.0117905919,15.7713336196,49.9504509365,2.42766965465,14.6519531108,16.1236210912,16.4431870365
28,6.84131818399,8.87559577769,2.39553985008,3.86492177895,45.9836376855,16.1966907316,51.0478217241,2.59028331952,15.4820085335,16.7839641855,17.006178177
29,7.07058941853,9.42975237133,2.56109395948,4.00943020643,48.1131115585,16.6119083275,50.4050470269,2.20527542406,16.0732980158,17.0633300396,17.3542836348
30,7.28223073251,9.74616391194,2.62836047322,4.37735213164,50.4682130382,17.5541880148,52.865137221,2.59122371868,16.5499546065,17.8304116035,18.1893235452
31,7.50846211869,9.87302299933,2.52744922407,4.25284633067,53.3608927918,17.6826051271,54.3508225765,2.46822163257,17.6330712609,18.3003288492,18.7957722911
32,7.72943748281,10.3073001472,2.50360489485,4.31751085434,55.1085510062,18.6360103312,57.0727897953,2.46381173544,18.5960599779,18.7016865123,19.5436762738
33,7.9444565236,10.3275723559,2.47572137387,4.4880296801,59.2943206662,18.8548746259,59.7069630312,2.74692795396,19.1234794127,19.4068019775,20.4369147601
34,8.14276549792,10.8129015845,2.37953874684,4.61040853564,60.9226321234,20.4581775956,60.2731968554,2.39818415388,19.4038166643,19.899924191,20.9301545948
35,8.42038606703,11.0601546646,2.35283611097,4.97135869764,63.2690543732,21.7105251968,60.8201482,2.65903902406,19.8494667714,20.4603474238,21.5573316529
