Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccOptimalReward
0,0.52966289395,0.289868529378,0.241523629884,0.3420928208,0.45812882841,0.375210116443,0.761046963835,0.168659737855,0.972467609377,0.204231315041,0.434289244497
1,0.791274679314,0.762199826573,0.431858903986,0.958398147485,0.634454695488,2.98439574267,860.800153754,0.64862972843,8.48971458335,0.587506249613,87.7088586311
2,1.45027842801,1.91360066878,1.41954778773,2.63377393218,0.834337642052,3.44539080802,861.917334287,0.893616025684,8.94527821864,0.829770082878,88.4282927881
3,2.23135604106,3.19004154308,1.900539096,3.44851836535,3.03244876494,4.67137560112,863.465886785,1.40384402188,9.74696487961,1.17991369516,89.4270888793
4,2.44208775045,3.57084303488,2.88929773962,4.01554510108,3.22531479752,6.49618794369,871.086608392,1.72562724953,10.7093386996,1.42638402989,90.7587234738
5,2.63500062269,3.859179783,3.07888805369,4.54820108628,3.44070769833,7.24462725762,871.573530099,2.08926055119,11.547749347,1.66395222581,91.1681096724
6,3.04877801349,4.09712904368,3.36736359926,5.1138126373,3.73364084925,8.20149523651,873.314756071,2.7952828259,12.3946538219,13.4052863632,92.9472198461
7,3.30589140558,5.19041661374,4.54525840792,5.40359485708,3.96722269812,8.67875462227,878.313011345,3.01635325723,14.8584860633,18.252203288,94.5531192558
8,4.14231431381,5.4258370154,5.30737160927,5.72252832867,4.26871483265,12.4544909362,879.027024845,3.87759188324,15.19641528,18.5139303756,95.393621942
9,4.33746501004,5.71419886332,5.50707842587,7.51386508694,4.42935105406,12.7809445707,892.032429679,4.12154822608,16.2848587876,19.1828551513,97.1904594854
10,4.75279620869,6.16946038589,7.25145573164,8.47899685223,4.70715328728,13.1537947526,894.367465664,4.37754219662,19.5131171564,20.6425353438,98.3414317579
11,5.77003523775,7.45598920186,7.79669458852,9.09530217892,4.92935940538,13.8763739644,894.810302761,4.88777019282,21.3961284596,21.5009533573,99.1518909347
12,6.70793605107,7.80615356124,8.91816243059,10.4900772744,5.53460284235,14.7551438611,896.132695896,5.1480321824,21.9750489353,21.7505539606,99.9218406995
13,6.93288205799,8.54906992101,9.29211370173,12.3328191051,5.8630346749,15.3217859339,914.908387854,5.47608071897,22.4157087781,22.3468210374,102.343870378
