Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccOptimalReward
0,0.170966383881,0.198014885814,0.143791406764,0.443241580847,0.354430068261,0.502403229558,0.866240477067,1.23641343565,0.211195237524,0.355375855733,0.44820725611
1,0.343338910386,0.475842643931,0.31058918942,0.724197804235,1.02773285204,1.12035012013,1.64460846457,2.40189764159,0.478607722476,0.819854835305,0.934702018408
2,0.550076222464,0.873047730881,0.503098934931,1.01518417489,1.56551497456,2.79946202682,2.21209507485,3.10451367077,0.644358225985,1.15524101923,1.44225920554
3,0.740714605067,1.18933041878,0.666357982735,1.74619199411,1.96370142798,4.13385622443,2.61208987349,4.04393039248,0.849039052747,1.63960807278,1.95848200446
4,0.925574739085,1.52469641718,0.846561635622,2.27733321847,2.3691928362,5.3484623263,3.3492006895,4.70325835828,1.12025669975,1.91026043094,2.43747973513
5,1.13844809234,1.93477163231,1.05782943275,2.62668530831,2.86089184595,6.76680898204,3.95714830072,6.6045779342,1.31196402615,2.27309045637,3.05322160111
6,1.34698801893,2.24844830597,1.30505024453,3.24213731112,3.18167718991,7.30269369521,4.59178636783,8.50589751012,1.53157416521,2.50684379277,3.57630966016
7,1.55540337358,2.51446619007,1.51547548886,3.56096046643,3.59250733517,8.50069551532,5.16794587026,9.43195914785,1.72518585338,2.95804125627,4.05226404972
8,1.74838667691,2.77703993356,1.73262548945,4.18965497629,4.04921698645,9.62771037925,5.79943147468,11.093266567,1.94370379277,3.28225264985,4.62432889262
9,1.97948744116,2.97388635992,1.91996429164,4.47727523915,4.49092714089,10.4918567429,6.14901496549,11.7361904444,2.14801012538,3.69400928602,5.00606220369
10,2.13242381045,3.18668686058,2.11261578828,4.85724854145,4.89088465877,12.1652706316,6.63985223455,13.4933881209,2.41108371782,4.17579172523,5.60652460896
11,2.33061460494,3.46426842029,2.41540849952,5.33855611597,5.30885091415,12.5613630675,7.11214786407,14.178484899,2.55285231558,4.53231084987,5.97948575508
12,2.51752307133,3.66877234216,2.58665611529,5.7696354986,5.7608324542,13.5987307337,7.6571328094,15.3877391682,2.775917113,4.89751104055,6.46204503464
13,2.77070904274,3.88679261682,2.73056308546,6.2261580052,6.23999659408,14.6889545498,8.20508349571,16.6740633282,3.00646442875,5.19909779989,6.96278829466
14,2.9601902835,4.16825893382,2.9471025875,6.54709135105,6.83198561547,15.4873214545,8.89892228105,17.4853285774,3.19806821946,5.54180074912,7.40660700529
15,3.16503875241,4.50726244537,3.09050485575,7.14251882625,7.46329338101,16.1260018395,9.28113329063,18.6804868398,3.38618723785,5.99918351713,7.88416109857
16,3.40733392756,4.83866986802,3.29893914774,7.5469906028,7.97594367791,17.4205713884,9.69785233372,19.7093124302,3.61255966522,6.38240262522,8.38905756668
17,3.5973558671,5.0976027091,3.49308949403,7.97245785369,8.66298662181,17.7349185656,10.0845080572,20.7798705859,3.85379913588,6.69266586664,8.79692547569
18,3.79707797136,5.50642751097,3.6921961667,8.15911696632,9.11712488546,18.9538636491,10.4963872891,22.183465941,4.06894703323,7.24524355375,9.3219850967
19,3.98265814404,5.80763143676,3.89871607054,8.49743959015,9.46251125056,19.9152696074,11.0294893792,23.2122915313,4.33002600997,7.52611915852,9.76621521785
20,4.177750241,6.12974257352,4.10715036253,8.85828892597,10.0548163609,21.019765723,11.5085366567,24.3531252622,4.48414590953,7.87748470913,10.2570806725
21,4.37172129218,6.35998160395,4.30370421609,9.27828969298,10.2495985736,22.5909086216,12.0992221556,24.8280681039,4.71721462562,8.25674562325,10.7055454509
22,4.50537334404,6.69029367147,4.51259763396,9.72025220195,10.6728418211,23.8080008105,12.7698802062,26.2021792826,4.84636139682,8.5567815361,11.2284561905
23,4.7183668772,6.9547724183,4.70674798024,10.1566236243,11.8642593882,24.8095495209,13.4100867371,27.7094798771,5.05276972923,8.76396916963,11.8146625322
24,4.9213481931,7.34294026498,4.85139822812,10.5639909354,12.2185492624,26.1724221697,13.8028263414,28.9903448778,5.28304102476,8.97329227884,12.3120153577
25,5.09025211927,7.54313806961,5.01596515689,10.9532985737,12.6587153577,26.8985022124,14.3991872297,30.894679264,5.46115340525,9.45765933239,12.8372550721
26,5.25049514247,7.89466154333,5.18166184766,11.302907404,13.067269895,27.69701835,15.0170900268,31.6609583479,5.68398399489,9.73892545749,13.249497201
27,5.44704123447,8.20096633819,5.36158223025,11.6640515124,13.5126563565,28.4408785222,15.6928166365,32.8158118981,5.88952409367,10.0875434557,13.7112872278
28,5.59626430093,8.5312784057,5.51684772602,12.1439422319,13.8383764104,29.5678933862,16.2914886554,34.0800950197,6.06296762727,10.3758135769,14.200496734
29,5.7399516135,8.91589275733,5.66944910475,12.5874090922,14.375854276,31.3140323137,16.7452447237,35.0971950069,6.31491492215,10.745509133,14.7505452943
30,5.91994037714,9.15923027547,5.87566160754,12.9332609165,14.7794085446,32.0768903347,17.4159472668,35.9187748161,6.48351303097,11.2029000421,15.1765527212
