Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageRegret
0,0.118970673061,0.0785984578187,0.0,0.356232816788,0.0,0.19385350062,0.0822479728573,0.0,0.0,0.179097998664,0.100900141981
1,0.118970673061,0.0785984578187,0.18239889157,0.584854309592,0.221618598385,0.342201504086,0.120591264082,0.667575363065,0.0,0.543667844703,0.286047690636
2,0.199597620427,0.285128975337,0.284185621649,0.766210113308,0.221618598385,0.513090585192,0.149052767754,1.03296110776,0.211365752603,0.639795253552,0.430300639596
3,0.228713736015,0.290682333943,0.362536946011,0.766210113308,0.221618598385,0.741755475667,0.208128640164,1.56170109282,0.406937122827,1.21638112547,0.600466518461
4,0.247245430871,0.488752448167,0.473866676803,0.850609571476,0.487340639989,1.11441961149,0.208128640164,1.71276224792,0.51083416586,1.68229827726,0.777625771
5,0.478423205571,0.515619922414,0.514126022494,0.944969761104,0.555305499587,1.51415672713,0.371367530232,1.94875122165,0.713342426477,1.84610566866,0.940216798533
6,0.532563047563,0.515619922414,1.05136966469,1.29353241395,0.708571931778,1.65938050136,0.680241024529,2.3296468608,0.794901823805,1.84610566866,1.14119328595
7,0.672258269064,0.765518406323,1.05366086476,1.44136431136,1.0844005406,1.65938050136,0.680241024529,2.38497325421,0.842190381697,2.39500937326,1.29789969272
8,0.672258269064,1.1415212741,1.19629088592,1.91318414684,1.54709123908,1.92708938954,0.680241024529,2.38497325421,0.97586384784,2.69448492191,1.5132998253
9,0.672258269064,1.57293533382,1.19629088592,2.22800555612,1.62686891708,2.08168950763,0.834198388261,2.38497325421,1.36103115596,2.69448492191,1.665273619
10,1.08973756738,1.57293533382,1.21758901476,2.22800555612,1.94219742978,2.08168950763,0.919622775022,2.42097752669,1.36103115596,3.0378570412,1.78716429084
11,1.08973756738,1.93085897743,1.36068491107,2.4306891723,2.01946489034,2.27750004569,0.919622775022,2.47313573395,1.36103115596,3.43644524561,1.92991704748
12,1.32962684389,2.15115499743,1.42534267746,2.55056146935,2.01946489034,2.27750004569,0.919622775022,2.61482479306,1.36103115596,3.47286384103,2.01219934892
13,1.53998671746,2.15115499743,1.51987937441,2.74652906956,2.2356292886,2.48135689703,0.926078875056,2.61482479306,1.57331953501,3.47286384103,2.12616233886
14,1.53998671746,2.16882074379,1.52486486426,2.88216512373,2.58306923479,2.75094953662,0.967627570586,2.61482479306,1.57331953501,3.69881900537,2.23044471247
15,1.97286898637,2.25556288163,1.60529661372,2.88216512373,2.89683737548,2.75094953662,0.967627570586,2.61482479306,1.57331953501,4.24575449233,2.37652069085
16,2.13301474852,2.5076213354,1.60529661372,3.08172100116,3.00908653518,3.16771487841,0.967627570586,3.01499970386,1.57331953501,4.72333439184,2.57837363137
17,2.20796175368,2.753593136,1.65637086334,3.29678986476,3.50727129414,3.40005242241,1.12684332882,3.01499970386,1.87660093595,5.00541150217,2.78458948051
18,2.21484709531,2.753593136,1.93663975488,3.6026019414,3.73373113417,3.40005242241,1.15549068613,3.01499970386,1.87660093595,5.12867394931,2.88172307594
19,2.73874710068,3.10276952277,1.93663975488,3.72738583735,3.73373113417,3.40005242241,1.16730477576,3.4429856101,1.87660093595,5.33610815898,3.0462325253
