Time(Iteration),0,1,2,3,4,5,6,7,8,9,AverageAccOptimalReward
0,0.92321838543,0.838168753568,0.932574516603,0.824843959379,1.13819780432,0.784119858973,0.697816314659,0.886304194352,1.2257188331,1.01391866832,0.926488128871
1,1.79868979998,1.66144391846,1.82105454214,1.64743409341,2.14737402207,1.64905144334,1.38192440332,2.05432529964,2.25623416892,2.24157186999,1.86591035613
2,2.6768734688,2.441413032,2.72093055005,2.58651178294,3.26894797435,2.59388962986,1.95050304739,3.12026615254,3.40972715986,3.21410362116,2.79831664189
3,3.48082772456,3.31645544491,3.60752781341,3.43744626101,4.33045596891,3.26568586339,2.58488143762,4.12150437076,4.55975739556,4.50960271516,3.72141449953
4,4.21529047623,4.40484045715,4.43297774447,4.17154613975,5.234767582,4.28012897747,3.22255803085,4.94108581011,5.42413885518,5.70743505839,4.60347691316
5,5.28354108158,5.19253676373,5.39044317557,5.02095220735,6.18717895098,5.17732712563,4.00899857713,5.93131435483,6.44349906176,6.7878356975,5.54236269961
6,6.20833962782,6.17413202475,6.45773796218,5.93052501311,7.04578661867,6.02252100714,4.56331647197,6.92398245232,7.50205377921,7.88221081678,6.4710605774
7,7.14003632773,7.04208768884,7.38176619457,6.63752998866,8.03788964613,6.83288640511,5.36229043739,7.85535948836,8.54679099142,9.04526043819,7.38818976064
8,8.10481655289,8.11852229625,8.29099178085,7.58343620873,9.02471495041,7.70755925827,5.96684387903,8.87175801015,9.53092412745,10.0725754251,8.32721424891
9,9.11597582491,9.02480506739,9.0875930054,8.44998916202,10.0548866487,8.50821738614,6.65284244086,9.73062326851,10.6568904741,11.151044906,9.24328681841
10,10.2109376358,9.96726085468,10.0326810552,9.32709464683,11.0264113873,9.31097011524,7.33575496175,10.5541996084,11.6777738757,12.2334835133,10.1676567654
11,11.2605276795,10.9412641774,10.934856264,10.0718873988,11.8249281485,10.1509791605,7.96623521695,11.6136514873,12.7290895985,13.199995228,11.0693414359
12,12.3607192405,11.8262694617,11.8474174342,10.8668568482,12.7477211918,11.038997385,8.56354367588,12.6878410384,13.7079295166,14.4112640177,12.005855981
13,13.2092392626,12.7793988726,12.749592643,11.6828659123,13.6600344289,11.8568738885,9.099281783,13.6305565389,14.7411693688,15.6283166176,12.9037329316
14,14.1173528875,13.5540416454,13.6027367593,12.5338278127,14.5421129446,12.8243443797,9.76189829624,14.389798327,15.701195744,16.6356907814,13.7662999578
